month,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
April,39,168.5852534562212,Alfred Place,-37.81379749,144.96995745,"(-37.81379749, 144.96995745)",57
April,68,165.7722222222222,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)",58
April,61,159.33125,RMIT Building 14,-37.80767455,144.96309115,"(-37.80767455, 144.96309115)",59
April,33,156.87737341772151,Flinders St-Spring St (West),-37.81483252,144.97454056,"(-37.81483252, 144.97454056)",60
April,8,152.68832820947736,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)",61
April,37,143.52534722222222,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)",62
April,69,143.4048611111111,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)",63
April,49,141.7511111111111,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)",64
April,10,140.62542530157748,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)",65
April,73,135.45833333333334,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)",66
April,34,122.20555555555555,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)",67
April,11,119.79024289831206,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)",68
April,27,113.24444444444444,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)",69
April,62,110.63333333333334,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)",70
April,51,105.39,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)",71
April,64,103.82267441860465,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)",72
April,54,102.00104166666667,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)",73
April,44,90.40435344032467,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)",74
April,85,80.20972222222223,Macaulay Rd (North),-37.79432414,144.92973379,"(-37.79432414, 144.92973379)",75
April,46,69.82166666666667,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)",76
April,86,58.15694444444444,Queensberry St - Errol St (South),-37.80309992,144.94908064,"(-37.80309992, 144.94908064)",77
April,78,57.918055555555554,Harbour Esplanade (West) - Bike Path,-37.81471642,144.9446508,"(-37.81471642, 144.9446508)",78
April,76,57.18402777777778,Macaulay Rd- Bellair St,-37.79453802,144.93036194,"(-37.79453802, 144.93036194)",79
April,75,48.73888888888889,Spring St- Flinders st (West),-37.81515275,144.97467661,"(-37.81515275, 144.97467661)",80
April,71,31.530555555555555,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)",81
August,38,2391.319892473118,Flinders St-Swanston St (West),-37.81723437,144.96715033,"(-37.81723437, 144.96715033)",1
August,60,1668.767361111111,Flinders La - Swanston St (West) Temporary,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)",2
August,4,1225.3974601175482,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)",3
