day,sensor_id,avg_hourly_counts,sensor_description,latitude,longitude,location,rank
Friday,10,195.95429703921687,Victoria Point,-37.81876473,144.94710545,"(-37.81876473, 144.94710545)",55
Friday,33,193.45042116151913,Flinders St-Spring St (West),-37.81483252,144.97454056,"(-37.81483252, 144.97454056)",56
Friday,48,182.9927462887989,QVM-Queen St (East),-37.80631581,144.95866698,"(-37.80631581, 144.95866698)",57
Friday,43,179.2970430107527,Monash Rd-Swanston St (West),-37.79844525,144.96411782,"(-37.79844525, 144.96411782)",58
Friday,8,172.18384774917652,Webb Bridge,-37.82293543,144.94717511,"(-37.82293543, 144.94717511)",59
Friday,37,155.51810408529505,Lygon St (East),-37.80310271,144.96671452,"(-37.80310271, 144.96671452)",60
Friday,70,153.8837962962963,Errol Street (East),-37.80456984,144.94946229,"(-37.80456984, 144.94946229)",61
Friday,34,146.32094268880556,Flinders St-Spark La,-37.81537985,144.9741505,"(-37.81537985, 144.9741505)",62
Friday,49,143.1847609561753,QVM-Therry St (South),-37.80730067,144.95956055,"(-37.80730067, 144.95956055)",63
Friday,77,142.98067632850243,Harbour Esplanade (West) - Pedestrian path,-37.81441438,144.94433026,"(-37.81441438, 144.94433026)",64
Friday,68,127.04286858974359,Flinders Ln -Degraves St (North),-37.81684789,144.96559789,"(-37.81684789, 144.96559789)",65
Friday,87,122.72222222222223,Errol St (West),-37.80454949,144.94921863,"(-37.80454949, 144.94921863)",66
Friday,62,121.66982758620689,La Trobe St (North),-37.80996494,144.96216521,"(-37.80996494, 144.96216521)",67
Friday,27,120.82568394528438,QV Market-Peel St,-37.80606888,144.95644693,"(-37.80606888, 144.95644693)",68
Friday,54,119.18888888888888,Lincoln-Swanston (West),-37.804024,144.963084,"(-37.804024, 144.963084)",69
Friday,51,107.16064257028113,QVM-Franklin St (North),-37.80841814,144.95906317,"(-37.80841814, 144.95906317)",70
Friday,64,99.02640264026402,Royal Pde - Grattan St,-37.79949544,144.95792282,"(-37.79949544, 144.95792282)",71
Friday,69,98.84935897435898,Flinders Ln -Degraves St (Crossing),-37.81687225,144.96559145,"(-37.81687225, 144.96559145)",72
Friday,73,97.36309523809524,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)",73
Friday,11,92.55066480480845,Waterfront City,-37.81564989,144.93970695,"(-37.81564989, 144.93970695)",74
Friday,85,88.37867647058823,Macaulay Rd (North),-37.79432414,144.92973379,"(-37.79432414, 144.92973379)",75
Friday,44,84.83331505647548,Tin Alley-Swanston St (West),-37.79690473,144.96440378,"(-37.79690473, 144.96440378)",76
Friday,46,77.15061688831918,Pelham St (South),-37.80240719,144.96156731,"(-37.80240719, 144.96156731)",77
Friday,76,63.862713675213676,Macaulay Rd- Bellair St,-37.79453802,144.93036194,"(-37.79453802, 144.93036194)",78
Friday,86,63.21342281879195,Queensberry St - Errol St (South),-37.80309992,144.94908064,"(-37.80309992, 144.94908064)",79
Friday,75,43.75660569105691,Spring St- Flinders st (West),-37.81515275,144.97467661,"(-37.81515275, 144.97467661)",80
Friday,78,39.35024154589372,Harbour Esplanade (West) - Bike Path,-37.81471642,144.9446508,"(-37.81471642, 144.9446508)",81
Friday,71,34.81944444444444,Westwood Place,-37.81235775,144.97136962,"(-37.81235775, 144.97136962)",82
Monday,38,2287.9603174603176,Flinders St-Swanston St (West),-37.81723437,144.96715033,"(-37.81723437, 144.96715033)",1
Monday,60,1486.4345238095239,Flinders La - Swanston St (West) Temporary,-37.81668188,144.9668954,"(-37.81668188, 144.9668954)",2
Monday,22,1346.5823996265174,Flinders St-Elizabeth St (East),-37.81786445,144.96506823,"(-37.81786445, 144.96506823)",3
Monday,4,1253.0225397856448,Town Hall (West),-37.81487988,144.9660878,"(-37.81487988, 144.9660878)",4
Monday,41,1206.9344418960245,Flinders La-Swanston St (West),-37.81668633,144.96689733,"(-37.81668633, 144.96689733)",5
Monday,35,1151.4310481736368,Southbank,-37.82017828,144.96508877,"(-37.82017828, 144.96508877)",6
Monday,24,1083.5737109658678,Spencer St-Collins St (North),-37.81887962,144.95449198,"(-37.81887962, 144.95449198)",7
Monday,6,1076.2058682058682,Flinders Street Station Underpass,-37.81911704,144.96558256,"(-37.81911704, 144.96558256)",8
Monday,3,991.8787078934138,Melbourne Central,-37.81101523,144.96429485,"(-37.81101523, 144.96429485)",9
Monday,13,964.7178257394085,Flagstaff Station,-37.81239679,144.95652653,"(-37.81239679, 144.95652653)",10
Monday,1,959.980671482076,Bourke Street Mall (North),-37.8134944,144.96515324,"(-37.8134944, 144.96515324)",11
Monday,32,941.1151175213676,City Square,-37.81573742,144.96685718,"(-37.81573742, 144.96685718)",12
Monday,5,903.7040615384616,Princes Bridge,-37.81874249,144.96787656,"(-37.81874249, 144.96787656)",13
Monday,2,886.6586930455635,Bourke Street Mall (South),-37.81380667,144.96516719,"(-37.81380667, 144.96516719)",14
Monday,84,772.0535714285714,Elizabeth St - Flinders St (East) - New footpath,-37.81798049,144.96503383,"(-37.81798049, 144.96503383)",15
Monday,28,761.6930022573364,The Arts Centre,-37.82129924,144.96879309,"(-37.82129924, 144.96879309)",16
Monday,15,732.6639030612245,State Library,-37.81064378,144.96447132,"(-37.81064378, 144.96447132)",17
Monday,16,718.0257716049383,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)",18
Monday,47,695.2480506822612,Melbourne Central-Elizabeth St (East),-37.81160331,144.96220077,"(-37.81160331, 144.96220077)",19
