sensor_id,day_type,time,avg_hourly_counts,sensor_description,latitude,longitude,location
50,Weekday,1,12.149109792284866,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,2,5.313056379821958,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,3,3.864985163204748,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,4,7.601632047477745,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,5,9.093402520385471,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,6,20.582653817642697,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,7,63.17407407407408,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,8,130.82444444444445,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,9,171.16814814814813,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,10,225.49777777777777,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,11,274.5985185185185,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,12,373.21317542561064,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,13,393.1887490747594,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,14,339.76461880088823,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,15,314.1043671354552,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,16,303.3419689119171,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,17,359.13545521835675,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,18,396.0081421169504,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,19,384.2536982248521,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,20,366.48298816568047,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,21,298.94296296296295,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,22,201.64418087472203,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekday,23,90.24759080800592,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,0,94.3690036900369,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,1,40.80442804428044,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,2,17.835489833641404,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,3,10.498154981549815,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,4,11.22181146025878,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,5,8.792975970425138,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,6,10.768946395563772,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,7,26.64510166358595,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,8,67.40295748613678,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,9,156.86321626617377,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,10,279.53419593345654,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,11,362.6987060998152,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,12,447.51756007393715,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,13,481.6358595194085,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,14,507.06099815157114,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,15,508.4380776340111,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,16,465.7190388170055,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,17,448.06839186691315,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,18,476.38447319778186,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,19,496.53789279112755,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,20,481.61367837338264,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,21,394.2865064695009,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,22,272.15341959334563,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
50,Weekend,23,140.24953789279112,Faraday St-Lygon St (West),-37.79808191,144.96721014,"(-37.79808191, 144.96721014)"
73,Weekday,0,23.574074074074073,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,1,20.12962962962963,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,2,14.851851851851851,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,3,7.953703703703703,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,4,6.601851851851852,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,5,14.62037037037037,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,6,33.01851851851852,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,7,69.3425925925926,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,8,165.15740740740742,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,9,126.87037037037037,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,10,111.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,11,119.06481481481481,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,12,174.4537037037037,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,13,168.11111111111111,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,14,134.99074074074073,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,15,137.7962962962963,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,16,165.52777777777777,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,17,211.9814814814815,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,18,120.31481481481481,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,19,82.68807339449542,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,20,81.04587155963303,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,21,87.71296296296296,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,22,70.06481481481481,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekday,23,42.620370370370374,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,0,104.1590909090909,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,1,71.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,2,63.56818181818182,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,3,59.79545454545455,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,4,43.97674418604651,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,5,15.113636363636363,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,6,16.636363636363637,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,7,19.386363636363637,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,8,28.386363636363637,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,9,49.56818181818182,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,10,85.0,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,11,96.56818181818181,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,12,92.72727272727273,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,13,91.5,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,14,93.97727272727273,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,15,100.31818181818181,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,16,94.52272727272727,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,17,79.22727272727273,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,18,72.56818181818181,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,19,81.47727272727273,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,20,98.5909090909091,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,21,132.27272727272728,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,22,115.8409090909091,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
73,Weekend,23,79.45454545454545,Bourke St - Spencer St (South),-37.81695684,144.95415373,"(-37.81695684, 144.95415373)"
66,Weekday,0,106.35573770491803,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,1,104.59375,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,2,112.01644736842105,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,3,107.38815789473684,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,4,106.70230263157895,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,5,120.26929392446634,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,6,151.9360655737705,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,7,207.0983606557377,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,8,303.51803278688527,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,9,350.5016393442623,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,10,436.9688524590164,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,11,577.1655737704918,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,12,790.0589198036007,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,13,873.2585924713584,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,14,879.6743044189852,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,15,927.6612111292962,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,16,985.9263502454992,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,17,1053.69558101473,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,18,937.1554828150573,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,19,774.6693944353519,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,20,646.8723404255319,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,21,511.83934426229507,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,22,349.5566502463054,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekday,23,197.6929392446634,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,0,254.30041152263374,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,1,204.8559670781893,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,2,175.0781893004115,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,3,169.1851851851852,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,4,146.62396694214877,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,5,144.02057613168725,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,6,143.31404958677686,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,7,152.81404958677686,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,8,184.55785123966942,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,9,287.41735537190084,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,10,468.9669421487603,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,11,711.5371900826447,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,12,954.198347107438,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,13,1148.3264462809918,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
66,Weekend,14,1275.801652892562,State Library - New,-37.81057845,144.96444294,"(-37.81057845, 144.96444294)"
