sensor_id,day,time,avg_hourly_counts,sensor_description,latitude,longitude,location
16,Saturday,2,63.1015037593985,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,3,40.88345864661654,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,4,24.278195488721803,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,5,22.218045112781954,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,6,42.78195488721804,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,7,108.07142857142857,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,8,276.98496240601503,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,9,638.0037593984962,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,10,1053.1917293233082,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,11,1397.8007518796992,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,12,1632.3684210526317,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,13,1719.860902255639,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,14,1704.3007518796992,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,15,1642.281954887218,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,16,1410.733082706767,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,17,910.1691729323309,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,18,528.3533834586466,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,19,414.67293233082705,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,20,310.14285714285717,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,21,280.4135338345865,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,22,321.6503759398496,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Saturday,23,279.88345864661653,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,0,245.94198895027625,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,1,135.16917293233084,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,2,116.06037735849057,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,3,88.53383458646617,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,4,42.70676691729323,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,5,29.545112781954888,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,6,35.161654135338345,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,7,76.38345864661655,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,8,170.4812030075188,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,9,422.54135338345867,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,10,820.375939849624,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,11,1111.360902255639,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,12,1274.2255639097743,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,13,1339.7932330827068,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,14,1352.109022556391,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,15,1247.2894736842106,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,16,1022.0112781954887,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,17,593.3646616541354,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,18,320.05263157894734,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,19,249.91729323308272,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,20,201.406015037594,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,21,161.56015037593986,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,22,118.93233082706767,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Sunday,23,75.83834586466165,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,0,274.5989583333333,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,1,21.477272727272727,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,2,11.484848484848484,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,3,10.083333333333334,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,4,11.659090909090908,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,5,23.352272727272727,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,6,104.76893939393939,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,7,419.5719696969697,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,8,942.3674242424242,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,9,971.530303030303,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,10,1165.3977272727273,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,11,1489.965909090909,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,12,2496.1477272727275,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,13,2704.753787878788,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,14,1879.1818181818182,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,15,1614.8257575757575,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,16,1464.3598484848485,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,17,1465.628787878788,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,18,917.3598484848485,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,19,504.4280303030303,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,20,314.88257575757575,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,21,245.3409090909091,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
16,Thursday,22,187.625,Australia on Collins,-37.81573422,144.96521044,"(-37.81573422, 144.96521044)"
