id,date_time,year,month,mdate,day,time,sensor_id,sensor_name,hourly_counts,date_key,day_type
2887740,2019-11-01T19:00:00.000,2019,November,1,Friday,19,37,Lygon St (East),293,20191101,Weekday
2887741,2019-11-01T19:00:00.000,2019,November,1,Friday,19,40,Lonsdale St-Spring St (West),384,20191101,Weekday
2887742,2019-11-01T19:00:00.000,2019,November,1,Friday,19,36,Queen St (West),420,20191101,Weekday
2887743,2019-11-01T19:00:00.000,2019,November,1,Friday,19,29,St Kilda Rd-Alexandra Gardens,502,20191101,Weekday
2887744,2019-11-01T19:00:00.000,2019,November,1,Friday,19,42,Grattan St-Swanston St (West),303,20191101,Weekday
2887745,2019-11-01T19:00:00.000,2019,November,1,Friday,19,43,Monash Rd-Swanston St (West),42,20191101,Weekday
2887746,2019-11-01T19:00:00.000,2019,November,1,Friday,19,44,Tin Alley-Swanston St (West),41,20191101,Weekday
2887747,2019-11-01T19:00:00.000,2019,November,1,Friday,19,35,Southbank,2058,20191101,Weekday
2887748,2019-11-01T19:00:00.000,2019,November,1,Friday,19,45,Little Collins St-Swanston St (East),1647,20191101,Weekday
2887749,2019-11-01T19:00:00.000,2019,November,1,Friday,19,46,Pelham St (S),134,20191101,Weekday
2887750,2019-11-01T19:00:00.000,2019,November,1,Friday,19,47,Melbourne Central-Elizabeth St (East),1600,20191101,Weekday
2887751,2019-11-01T19:00:00.000,2019,November,1,Friday,19,48,QVM-Queen St (East),256,20191101,Weekday
2887752,2019-11-01T19:00:00.000,2019,November,1,Friday,19,49,QVM-Therry St (South),190,20191101,Weekday
2887753,2019-11-01T19:00:00.000,2019,November,1,Friday,19,50,Faraday St-Lygon St (West),572,20191101,Weekday
2887754,2019-11-01T19:00:00.000,2019,November,1,Friday,19,51,QVM-Franklin St (North),184,20191101,Weekday
2887755,2019-11-01T19:00:00.000,2019,November,1,Friday,19,52,Elizabeth St-Lonsdale St (South),773,20191101,Weekday
2887756,2019-11-01T19:00:00.000,2019,November,1,Friday,19,54,Lincoln-Swanston(West),182,20191101,Weekday
2887757,2019-11-01T19:00:00.000,2019,November,1,Friday,19,55,Elizabeth St-La Trobe St (East),1748,20191101,Weekday
2887758,2019-11-01T19:00:00.000,2019,November,1,Friday,19,56,Lonsdale St - Elizabeth St (North),569,20191101,Weekday
2887759,2019-11-01T19:00:00.000,2019,November,1,Friday,19,57,Bourke St Bridge,379,20191101,Weekday
2887760,2019-11-01T19:00:00.000,2019,November,1,Friday,19,58,Bourke St - Spencer St (North),953,20191101,Weekday
2887761,2019-11-01T19:00:00.000,2019,November,1,Friday,19,59,Swanston St - RMIT Building 80,179,20191101,Weekday
2887762,2019-11-01T19:00:00.000,2019,November,1,Friday,19,61,Swanston St - RMIT Building 14,832,20191101,Weekday
2887763,2019-11-01T19:00:00.000,2019,November,1,Friday,19,62,La Trobe St (North),280,20191101,Weekday
2887764,2019-11-01T20:00:00.000,2019,November,1,Friday,20,4,Town Hall (West),2051,20191101,Weekday
2887765,2019-11-01T20:00:00.000,2019,November,1,Friday,20,17,Collins Place (South),320,20191101,Weekday
2887766,2019-11-01T20:00:00.000,2019,November,1,Friday,20,18,Collins Place (North),182,20191101,Weekday
2887767,2019-11-01T20:00:00.000,2019,November,1,Friday,20,53,Collins St (North),589,20191101,Weekday
2887768,2019-11-01T20:00:00.000,2019,November,1,Friday,20,2,Bourke Street Mall (South),1204,20191101,Weekday
2887769,2019-11-01T20:00:00.000,2019,November,1,Friday,20,1,Bourke Street Mall (North),2070,20191101,Weekday
2887770,2019-11-01T20:00:00.000,2019,November,1,Friday,20,3,Melbourne Central,2822,20191101,Weekday
2887771,2019-11-01T20:00:00.000,2019,November,1,Friday,20,15,State Library,1444,20191101,Weekday
2887772,2019-11-01T20:00:00.000,2019,November,1,Friday,20,9,Southern Cross Station,277,20191101,Weekday
2887773,2019-11-01T20:00:00.000,2019,November,1,Friday,20,10,Victoria Point,142,20191101,Weekday
2887774,2019-11-01T20:00:00.000,2019,November,1,Friday,20,12,New Quay,476,20191101,Weekday
2887775,2019-11-01T20:00:00.000,2019,November,1,Friday,20,11,Waterfront City,154,20191101,Weekday
2887776,2019-11-01T20:00:00.000,2019,November,1,Friday,20,8,Webb Bridge,204,20191101,Weekday
2887777,2019-11-01T20:00:00.000,2019,November,1,Friday,20,7,Birrarung Marr,203,20191101,Weekday
2887778,2019-11-01T20:00:00.000,2019,November,1,Friday,20,5,Princes Bridge,1882,20191101,Weekday
2887779,2019-11-01T20:00:00.000,2019,November,1,Friday,20,6,Flinders Street Station Underpass,2097,20191101,Weekday
2887780,2019-11-01T20:00:00.000,2019,November,1,Friday,20,14,Sandridge Bridge,25,20191101,Weekday
2887781,2019-11-01T20:00:00.000,2019,November,1,Friday,20,26,QV Market-Elizabeth St (West),672,20191101,Weekday
2887782,2019-11-01T20:00:00.000,2019,November,1,Friday,20,24,Spencer St-Collins St (North),1043,20191101,Weekday
2887783,2019-11-01T20:00:00.000,2019,November,1,Friday,20,23,Spencer St-Collins St (South),200,20191101,Weekday
2887784,2019-11-01T20:00:00.000,2019,November,1,Friday,20,25,Melbourne Convention Exhibition Centre,1652,20191101,Weekday
2887785,2019-11-01T20:00:00.000,2019,November,1,Friday,20,21,Bourke St-Russell St (West),997,20191101,Weekday
2887786,2019-11-01T20:00:00.000,2019,November,1,Friday,20,20,Chinatown-Lt Bourke St (South),974,20191101,Weekday
2887787,2019-11-01T20:00:00.000,2019,November,1,Friday,20,19,Chinatown-Swanston St (North),1362,20191101,Weekday
2887788,2019-11-01T20:00:00.000,2019,November,1,Friday,20,22,Flinders St-Elizabeth St (East),2314,20191101,Weekday
2887789,2019-11-01T20:00:00.000,2019,November,1,Friday,20,27,QV Market-Peel St,135,20191101,Weekday
2887790,2019-11-01T20:00:00.000,2019,November,1,Friday,20,28,The Arts Centre,594,20191101,Weekday
